Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.5,0.8,0.45,0.35,0.6,0.6,0.15,0.4,0.45,0.55,0.7,0.3,0.8,0.15,0.65,0.5,0.15,0.7,0.25,0.45,0.35,0.8,0.85,0.65,0.4,0.45,0.2,0.5,0.75
1.0,0.55,0.0,0.6,0.65,0.6,0.8,0.65,0.5,0.8,0.7,0.8,0.65,0.6,0.75,0.65,0.7,0.75,0.55,0.7,0.6,0.75,0.6,0.6,0.75,0.8,0.6,0.5,0.6,0.9,0.75
2.0,0.65,0.4,0.0,0.55,0.55,0.45,0.55,0.7,0.65,0.6,0.55,0.4,0.5,0.45,0.5,0.4,0.6,0.65,0.45,0.65,0.45,0.45,0.0,0.45,0.35,0.45,0.45,0.65,0.6,0.55
3.0,0.3,0.45,0.55,0.0,0.3,0.3,0.15,0.3,0.3,0.45,0.25,0.3,0.4,0.35,0.4,0.55,0.65,0.2,0.4,0.4,0.65,0.35,0.55,0.4,0.3,0.55,0.45,0.5,0.35,0.5
4.0,0.4,0.6,0.75,0.5,0.0,0.7,0.5,0.3,0.7,0.6,0.45,0.75,0.25,0.8,0.4,0.8,0.6,0.5,0.8,0.4,0.7,0.7,0.75,0.6,0.6,0.55,0.65,0.3,0.55,0.85
5.0,0.3,0.45,0.3,0.15,0.35,0.0,0.15,0.45,0.3,0.35,0.25,0.15,0.45,0.2,0.3,0.3,0.4,0.35,0.1,0.4,0.35,0.2,0.3,0.25,0.05,0.4,0.3,0.5,0.2,0.25
6.0,0.45,0.45,0.55,0.15,0.3,0.3,0.0,0.4,0.4,0.45,0.25,0.25,0.4,0.3,0.55,0.55,0.5,0.35,0.4,0.5,0.5,0.35,0.55,0.25,0.3,0.65,0.45,0.5,0.45,0.45
7.0,0.3,0.6,1.0,0.6,0.4,0.9,0.7,0.0,0.4,0.3,0.5,0.7,0.5,0.8,0.4,0.9,0.6,0.3,1.0,0.1,0.7,0.6,1.0,0.8,0.9,0.5,0.6,0.3,0.5,0.9
8.0,0.4,0.75,0.8,0.45,0.65,0.6,0.55,0.25,0.0,0.3,0.35,0.4,0.6,0.5,0.35,0.5,0.6,0.2,0.7,0.2,0.55,0.5,0.8,0.65,0.6,0.5,0.55,0.55,0.35,0.65
9.0,0.5,0.7,0.8,0.65,0.6,0.7,0.65,0.2,0.35,0.0,0.4,0.5,0.7,0.6,0.45,0.75,0.6,0.4,0.8,0.15,0.65,0.55,0.8,0.6,0.7,0.55,0.55,0.5,0.4,0.75
10.0,0.5,0.7,0.65,0.35,0.35,0.5,0.35,0.3,0.3,0.3,0.0,0.4,0.45,0.5,0.45,0.6,0.45,0.4,0.6,0.25,0.55,0.5,0.65,0.3,0.5,0.5,0.5,0.4,0.35,0.7
11.0,0.55,0.45,0.4,0.3,0.55,0.3,0.25,0.4,0.25,0.3,0.3,0.0,0.6,0.2,0.5,0.5,0.6,0.45,0.4,0.35,0.55,0.45,0.4,0.35,0.3,0.5,0.4,0.7,0.35,0.4
12.0,0.3,0.55,0.65,0.55,0.2,0.75,0.55,0.35,0.6,0.65,0.5,0.75,0.0,0.7,0.3,0.55,0.5,0.4,0.75,0.45,0.45,0.65,0.65,0.65,0.65,0.35,0.4,0.2,0.75,0.75
13.0,0.55,0.45,0.35,0.25,0.5,0.25,0.2,0.4,0.25,0.3,0.3,0.1,0.45,0.0,0.5,0.35,0.45,0.45,0.25,0.35,0.4,0.45,0.35,0.15,0.25,0.35,0.25,0.55,0.3,0.2
14.0,0.15,0.6,0.65,0.55,0.35,0.6,0.7,0.25,0.35,0.4,0.5,0.65,0.3,0.75,0.0,0.5,0.55,0.25,0.7,0.2,0.45,0.5,0.65,0.8,0.5,0.4,0.4,0.35,0.5,0.8
15.0,0.5,0.5,0.4,0.55,0.6,0.45,0.55,0.6,0.35,0.55,0.5,0.5,0.4,0.45,0.35,0.0,0.45,0.4,0.45,0.55,0.4,0.45,0.4,0.5,0.35,0.5,0.35,0.55,0.6,0.4
16.0,0.45,0.65,0.7,0.75,0.5,0.65,0.6,0.4,0.55,0.5,0.45,0.7,0.45,0.65,0.5,0.55,0.0,0.6,0.65,0.4,0.25,0.45,0.7,0.45,0.7,0.5,0.5,0.2,0.5,0.5
17.0,0.2,0.55,0.85,0.4,0.5,0.7,0.55,0.2,0.25,0.4,0.5,0.65,0.45,0.75,0.3,0.6,0.7,0.0,0.8,0.3,0.65,0.45,0.85,0.8,0.7,0.6,0.5,0.4,0.6,0.85
18.0,0.4,0.35,0.3,0.25,0.45,0.1,0.25,0.55,0.4,0.45,0.35,0.25,0.45,0.2,0.4,0.3,0.4,0.45,0.0,0.5,0.35,0.3,0.3,0.25,0.15,0.4,0.3,0.5,0.3,0.25
19.0,0.35,0.65,0.9,0.65,0.45,0.8,0.75,0.05,0.3,0.2,0.4,0.6,0.55,0.7,0.3,0.8,0.55,0.35,0.9,0.0,0.6,0.65,0.9,0.7,0.8,0.4,0.5,0.35,0.4,0.85
20.0,0.35,0.6,0.5,0.7,0.55,0.55,0.55,0.45,0.45,0.5,0.5,0.6,0.35,0.55,0.35,0.45,0.2,0.5,0.55,0.4,0.0,0.45,0.5,0.5,0.6,0.4,0.35,0.25,0.55,0.55
21.0,0.25,0.45,0.5,0.4,0.55,0.4,0.4,0.35,0.4,0.4,0.45,0.5,0.55,0.6,0.4,0.5,0.4,0.3,0.5,0.45,0.45,0.0,0.5,0.6,0.45,0.5,0.55,0.4,0.4,0.55
22.0,0.65,0.4,0.0,0.55,0.55,0.45,0.55,0.7,0.65,0.6,0.55,0.4,0.5,0.45,0.5,0.4,0.6,0.65,0.45,0.65,0.45,0.45,0.0,0.45,0.35,0.45,0.45,0.65,0.6,0.55
23.0,0.65,0.5,0.4,0.35,0.35,0.35,0.2,0.45,0.45,0.35,0.15,0.3,0.45,0.2,0.6,0.45,0.3,0.55,0.35,0.4,0.4,0.5,0.4,0.0,0.35,0.5,0.35,0.4,0.35,0.4
24.0,0.4,0.5,0.25,0.2,0.3,0.1,0.2,0.5,0.35,0.4,0.3,0.2,0.4,0.25,0.25,0.25,0.5,0.4,0.2,0.45,0.45,0.3,0.25,0.3,0.0,0.5,0.35,0.6,0.3,0.35
25.0,0.35,0.5,0.55,0.65,0.45,0.65,0.75,0.3,0.45,0.45,0.5,0.6,0.3,0.55,0.35,0.6,0.5,0.5,0.65,0.25,0.45,0.55,0.55,0.65,0.7,0.0,0.35,0.3,0.5,0.6
26.0,0.3,0.3,0.45,0.45,0.45,0.45,0.45,0.3,0.4,0.35,0.4,0.4,0.25,0.35,0.25,0.35,0.4,0.3,0.45,0.25,0.3,0.5,0.45,0.4,0.45,0.25,0.0,0.35,0.65,0.55
27.0,0.25,0.6,0.85,0.7,0.3,0.85,0.7,0.2,0.6,0.5,0.5,0.9,0.25,0.85,0.4,0.75,0.3,0.4,0.85,0.3,0.4,0.55,0.85,0.65,0.9,0.4,0.55,0.0,0.55,0.8
28.0,0.4,0.75,0.65,0.4,0.4,0.4,0.5,0.25,0.25,0.25,0.3,0.4,0.65,0.45,0.4,0.65,0.45,0.45,0.5,0.2,0.55,0.4,0.65,0.45,0.45,0.45,0.7,0.4,0.0,0.45
29.0,0.55,0.5,0.5,0.45,0.6,0.35,0.4,0.55,0.45,0.5,0.55,0.35,0.55,0.25,0.6,0.35,0.35,0.6,0.35,0.55,0.45,0.45,0.5,0.4,0.4,0.45,0.5,0.55,0.35,0.0
